"","Sanger_new_ID","tile","methylation","Clock","sequencing_block","plate_name","Organ","original_tube_ID","Age","Sex","Treatment"
"1","ZD0108b","6:4935441:4935768",50,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"2","ZD0108b","4:51645740:51646027",100,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"3","ZD0108b","8:51371072:51371541",13.3565541601256,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"4","ZD0108b","22:11185769:11186071",93.912037037037,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"5","ZD0108b","1:14372733:14373618",0,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"6","ZD0108b","22:34108053:34108286",94.375,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"7","ZD0108b","17:9936654:9936703",96.6666666666667,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"8","ZD0108b","8:31120071:31120427",2.17372134038801,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"9","ZD0108b","3:13557565:13558122",0.216983852364475,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"10","ZD0108b","7:34162239:34162861",64.5833333333334,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"11","ZD0108b","16:5093555:5093769",89.4736842105263,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"12","ZD0108b","1:40644559:40644788",12.5,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"13","ZD0108b","4:77561200:77561200",91.6666666666667,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"14","ZD0108b","4:77559642:77559642",79.5918367346939,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"15","ZD0108b","4:77560396:77560396",85.1063829787234,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"16","ZD0108b","8:50628644:50628910",95.6565656565657,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"17","ZD0108b","5:38774677:38775285",24.8863636363636,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"18","ZD0108b","24:3782666:3783423",2.60416666666667,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"19","ZD0108b","2:44181891:44182390",2.92397660818713,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"20","ZD0108b","4:3011851:3012149",72,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"21","ZD0108b","13:3704291:3704340",79.3939393939394,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"22","ZD0108b","16:815631:816213",7.8448506226284,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
"23","ZD0108b","15:42582708:42583050",84.8571428571428,"multitissue",1,"plate_batch1","Intestines","65F",10,"M","WT"
